ID,Predictions
1,5
2,5
3,5
4,2
5,2
6,3
7,4
8,3
9,5
10,3
11,1
12,4
13,5
14,1
15,1
16,5
17,5
18,3
19,4
20,1
21,5
22,3
23,5
24,3
25,3
26,4
27,5
28,4
29,3
30,1
31,4
32,5
33,5
34,3
35,1
36,1
37,2
38,4
39,2
40,5
41,4
42,3
43,2
44,1
45,5
46,4
47,2
48,3
49,5
50,4
51,5
52,5
53,2
54,2
55,4
56,5
57,2
58,3
59,5
60,4
61,4
62,2
63,5
64,2
65,1
66,2
67,4
68,2
69,3
70,1
71,5
72,4
73,3
74,4
75,4
76,3
77,2
78,4
79,4
80,5
81,5
82,3
83,4
84,3
85,4
86,5
87,4
88,4
89,4
90,3
91,3
92,3
93,4
94,3
95,5
96,2
97,4
98,3
99,5
100,3
101,2
102,3
103,4
104,3
105,2
106,1
107,5
108,3
109,5
110,3
111,1
112,3
113,5
114,5
115,5
116,3
117,3
118,2
119,5
120,5
121,5
122,3
123,1
124,4
125,1
126,5
127,1
128,1
129,5
130,3
131,5
132,5
133,5
134,5
135,3
136,2
137,4
138,4
139,5
140,5
141,2
142,1
143,1
144,4
145,1
146,5
147,5
148,4
149,5
150,2
151,2
152,3
153,3
154,2
155,3
156,1
157,4
158,1
159,5
160,4
161,5
162,4
163,5
164,5
165,3
166,5
167,4
168,2
169,5
170,4
171,5
172,1
173,3
174,4
175,2
176,2
177,2
178,5
179,3
180,3
181,4
182,4
183,3
184,1
185,1
186,3
187,5
188,5
189,4
190,3
191,4
192,4
193,3
194,3
195,2
196,4
197,3
198,3
199,2
200,4
201,5
202,4
203,4
204,4
205,4
206,5
207,4
208,4
209,5
210,4
211,4
212,2
213,3
214,1
215,3
216,3
217,4
218,5
219,1
220,1
221,3
222,5
223,1
224,3
225,5
226,3
227,5
228,5
229,1
230,3
231,4
232,3
233,5
234,2
235,5
236,3
237,4
238,5
239,1
240,3
241,5
242,5
243,4
244,1
245,3
246,5
247,5
248,2
249,3
250,3
251,2
252,4
253,2
254,1
255,4
256,5
257,3
258,5
259,3
260,4
261,5
262,2
263,2
264,5
265,4
266,3
267,1
268,2
269,5
270,3
271,1
272,2
273,2
274,4
275,1
276,2
277,3
278,4
279,2
280,2
281,5
282,5
283,3
284,5
285,2
286,1
287,2
288,1
289,2
290,3
291,4
292,4
293,5
294,4
295,3
296,5
297,5
298,5
299,3
300,4
301,1
302,4
303,3
304,2
305,3
306,4
307,4
308,4
309,1
310,5
311,3
312,3
313,4
314,2
315,5
316,2
317,4
318,5
319,3
320,5
321,1
322,2
323,2
324,4
325,3
326,4
327,4
328,5
329,4
330,5
331,5
332,5
333,1
334,3
335,1
336,5
337,3
338,5
339,2
340,3
341,1
342,5
343,4
344,4
345,3
346,1
347,4
348,4
349,1
350,2
351,5
352,3
353,5
354,4
355,5
356,3
357,4
358,3
359,3
360,2
361,4
362,5
363,1
364,3
365,3
366,2
367,2
368,1
369,1
370,2
371,3
372,5
373,5
374,4
375,5
376,2
377,4
378,3
379,5
380,3
381,5
382,5
383,5
384,1
385,1
386,2
387,4
388,3
389,3
390,4
391,3
392,5
393,4
394,3
395,3
396,1
397,1
398,5
399,3
400,3
401,5
402,3
403,4
404,3
405,2
406,4
407,3
408,3
409,1
410,4
411,2
412,5
413,5
414,1
415,2
416,4
417,3
418,2
419,5
420,5
421,3
422,4
423,4
424,5
425,3
426,2
427,5
428,2
429,5
430,5
431,3
432,2
433,1
434,2
435,1
436,3
437,3
438,1
439,5
440,5
441,1
442,5
443,4
444,4
445,4
446,3
447,2
448,1
449,2
450,5
451,5
452,4
453,5
454,5
455,1
456,3
457,5
458,4
459,1
460,4
461,2
462,2
463,4
464,3
465,3
466,1
467,4
468,3
469,3
470,3
471,3
472,4
473,4
474,4
475,3
476,2
477,2
478,3
